query,instr,cycles,branches,br_miss,l1d_miss,alloc_bytes,dealloc_bytes,ms
null iterable,251714.16244549022,108168.61190051808,-3280.67493824853,-323.321574737982,2296.8367994237838,1679.728,1533.432,0.044392
scalar iterables,254717.09468080755,110346.11500187176,-5375.309286730304,-338.39970279097366,2183.7482183192487,3201797.224,6288.2,0.044379
single multi true,241851.45848690992,108574.47393333251,-4236.588058203057,-248.3927910928866,2958.221257141935,41601478.032,1839.096,0.044003
unary minus null,271829.9316575678,118258.85359490855,-536.7769377603605,-294.241777844969,3940.3735332756364,38401730.416,2786.192,0.047253
untyped shortestPath,400965.4523767185,150235.46936176365,18123.484387309127,-340.34448604979355,6819.414313796229,192002435.504,3000.576,0.057544
zero hop shortestPath,271607.5124053349,116804.88065479691,-2165.338027350299,-299.668555259707,2736.6583689030913,6401626.336,5325.688,0.046604
date components,255819.61458951034,110483.90451686393,-2392.5837658571004,-298.0252228150293,2518.9994301444076,1972.872,1999.952,0.044826
temporal props read,285775.6963084253,117870.40442955468,-1438.2611313296707,-359.1179324976907,2581.047220078801,1635.88,2706.976,0.047659
point order by,276958.7619942212,115205.0974927004,-2674.5337848398835,-359.1861407434738,2175.002097976116,131202000.912,3446.792,0.04624
mixed type order by,418294.48878688214,153307.52420898605,39774.75760791106,-318.4833683856148,3118.2762116406793,102426380.416,27382.064,0.066029
call union,364934.3258878252,133173.17491515024,8301.984291743234,-397.1162723608558,3144.398039802028,294402402.104,4594.2,0.052599
call union import,443578.3771737297,162228.82466392932,45994.58387220874,59.305494368036626,6333.643564492025,387202209.36,5499.464,0.062251
label predicate,67280011.8840583,14598792.93485583,11968187.30952772,-12825.767114757784,-160255.30655966583,9608255.96,17620.656,4.033014
match pending edge,6508503.081912804,1399314.0441879448,2011125.1154146409,4369.121015576892,196326.3286822085,18133405028.224,3418602.768,0.473782
delete pending connected,20358153.87775745,3675820.5197196626,5183145.344597032,-3090.5114413057695,425759.5447583854,27909777560.336,5782328.72,1.081812
rereferenced node labels,440176.66529917234,174510.4382986722,19048.791481535034,-226.21183936866595,5798.37349773596,387202208.744,2575.04,0.073072
rereferenced node attrs,402262.224772181,153502.06847219547,19718.192497670694,-194.83200291038608,5477.317866443582,3202075.016,2261.92,0.059069
betweenness labeled,898041751.8748157,166835330.64387244,148579292.18822202,-280497.0086403835,-2305174.890668399,8007451792.0,7689330.0,45.072649999999996
WCC labeled,33041512.023730163,6973947.541510685,6471408.98389991,10288.438346707568,689557.3648633568,9507800555.24,3800337.32,2.012905
all edges scan,243585.94834130636,116444.82279219644,-14622.10179207389,-330.4365893818194,1927.2713379504362,3168001449.04,2754.864,0.057104
sci notation,257401.87170380927,114944.05792193173,2068.145415517889,-201.25578318422876,3470.2171091974196,3168001379.424,2392.312,0.046698
string escapes,245254.60663338026,110274.50050581011,308.5861325617656,-206.22516674913868,3620.8062787287413,3206401429.312,2963.888,0.045597
backtick var,275306.87163669954,121495.95452602231,6806.238866068967,-164.25091430411464,4617.177575569474,153601796.6,2657.208,0.048801
distinct aggs,2623430.189608693,591898.7961155161,482911.94172292197,1291.4185937580546,461.35740005854336,3202625.752,3879.16,0.180837
chained eq in comprehension,247292.7995995492,108310.13482829422,-5101.30674358166,-324.793977684598,2609.782787774581,12801477.12,1814.544,0.044273
compact date strings,270925.70812669775,142399.3978908805,259097.7573673107,4369.378853509013,40221.92774612442,9601639.12,3791.128,0.063248
compact time strings,250485.9734386921,110511.7669912452,19469.533209469213,-145.63090124933487,5350.3040751056105,3201410.192,10209.088,0.045663
duration map full,245029.74289762834,108298.81037241619,-5977.268376523375,-286.32602870826145,2725.7324068460007,38401726.216,12796.696,0.044588
datetime accessors,250785.53264381437,109193.84954025324,-2417.117769352898,-271.8880985195658,3132.3787575818224,3202166.744,2350.952,0.044823
time accessors,247116.87729585773,109670.32254393783,-3737.71973549252,-266.0267838748627,2830.8508080537113,3201541.12,2196.808,0.044566
set copy entity,416445.5472909527,172405.1053661965,20982.206711281047,-145.01263665528037,9866.677419162861,281604697.76,8258.688,0.067548
